prijavaCas,obcinaNaziv,nastanekCas
2026-03-19T11:20:21.91,Tolmin,2026-03-19T11:16:32.683
2026-03-19T11:11:53.057,Laško,2026-03-19T11:08:12
2026-03-19T08:28:16.74,Laško,2026-03-19T08:23:18
2026-03-19T07:35:46.967,Lukovica,2026-03-19T07:34:47
2026-03-19T06:40:38.543,Črenšovci,2026-03-19T06:34:22
2026-03-19T06:33:35.28,Hajdina,2026-03-19T06:29:03.123
2026-03-18T14:59:29.59,Kranj,2026-03-18T14:56:36
2026-03-18T11:41:19.813,Ljubljana,2026-03-18T11:39:45
2026-03-18T11:23:39.083,Ivančna Gorica,2026-03-18T11:22:52
2026-03-18T11:03:54.453,Ivančna Gorica,2026-03-18T11:00:43
2026-03-18T09:28:21.237,Logatec,2026-03-18T09:25:43.413
2026-03-18T09:03:55.177,Semič,2026-03-18T09:01:03.583
2026-03-18T08:29:04.567,Grosuplje,2026-03-18T08:26:55.337
2026-03-18T05:48:46.023,Gorišnica,2026-03-18T05:45:34
2026-03-20T18:14:27.617,Krško,2026-03-20T18:10:05
2026-03-20T18:13:44.817,Šentjur,2026-03-20T18:08:44.183
2026-03-20T16:19:58.41,Sevnica,2026-03-20T16:17:51
2026-03-20T14:14:57.673,Žalec,2026-03-20T14:11:47.467
2026-03-20T13:58:34.53,Maribor,2026-03-20T13:56:33
2026-03-20T13:49:39.113,Bled,2026-03-20T13:45:29
2026-03-20T13:45:27.82,Radovljica,2026-03-20T13:41:11.303
2026-03-20T12:30:16.463,Ilirska Bistrica,2026-03-20T12:26:18
2026-03-19T20:39:11.437,Brežice,2026-03-19T20:34:58
2026-03-19T17:25:01.58,Brežice,2026-03-19T17:16:42
